region 168: cartogram area = -230.578929, relative error = -0.000549
region 169: cartogram area = -233.670493, relative error = 0.000366
region 170: cartogram area = -266.020755, relative error = -0.000152
region 172: cartogram area = -145.834663, relative error = -0.000065
region 173: cartogram area = -63.937161, relative error = 0.000209
region 174: cartogram area = -41.919730, relative error = -0.000415
region 175: cartogram area = -41.469725, relative error = 0.000633
region 176: cartogram area = -41.575118, relative error = -0.000792
region 177: cartogram area = -45.458757, relative error = 0.001007
region 178: cartogram area = -41.966535, relative error = -0.001258
region 179: cartogram area = -38.636841, relative error = 0.001887
region 180: cartogram area = -31.052476, relative error = -0.002785
region 181: cartogram area = -41.186890, relative error = 0.004274
region 183: cartogram area = -52.265611, relative error = -0.003852
region 184: cartogram area = -51.933694, relative error = 0.004390
region 185: cartogram area = -52.292846, relative error = -0.004503
region 186: cartogram area = -52.880544, relative error = 0.005111
region 187: cartogram area = -49.191705, relative error = -0.005522
region 188: cartogram area = -50.194775, relative error = 0.007218
region 189: cartogram area = -48.706325, relative error = -0.006661
region 190: cartogram area = -48.581874, relative error = 0.005992
region 191: cartogram area = -44.206353, relative error = -0.004940
region 192: cartogram area = -44.125907, relative error = 0.003940
region 195: cartogram area = -200.311162, relative error = -0.003050
region 196: cartogram area = -223.316244, relative error = 0.003023
region 197: cartogram area = -208.674837, relative error = -0.002472
region 198: cartogram area = -222.458839, relative error = 0.002134
region 199: cartogram area = -242.628914, relative error = -0.001717
region 200: cartogram area = -218.072996, relative error = 0.001397
region 201: cartogram area = -197.855352, relative error = -0.000955
region 202: cartogram area = -183.251461, relative error = 0.000647
region 203: cartogram area = -95.388366, relative error = -0.000470
region 204: cartogram area = -56.056870, relative error = 0.000186
region 206: cartogram area = -42.786286, relative error = 0.000138
region 207: cartogram area = -44.326682, relative error = -0.000380
region 208: cartogram area = -40.437235, relative error = 0.000547
region 209: cartogram area = -36.539167, relative error = -0.000816
region 210: cartogram area = -31.628219, relative error = 0.001157
region 211: cartogram area = -39.392508, relative error = -0.001418
region 212: cartogram area = -46.424278, relative error = 0.001405
region 213: cartogram area = -50.792953, relative error = -0.002192
region 214: cartogram area = -51.717068, relative error = 0.002993
region 215: cartogram area = -55.864204, relative error = -0.003251
region 217: cartogram area = -53.459577, relative error = 0.003562
region 218: cartogram area = -50.786051, relative error = -0.004741
region 219: cartogram area = -46.477315, relative error = 0.005225
region 220: cartogram area = -44.964267, relative error = -0.006282
region 221: cartogram area = -50.275846, relative error = 0.005112
region 222: cartogram area = -126.598546, relative error = -0.004807
region 223: cartogram area = -243.257301, relative error = 0.004012
region 224: cartogram area = -252.627368, relative error = -0.004228
region 225: cartogram area = -237.413004, relative error = 0.004623
region 226: cartogram area = -218.829713, relative error = -0.005088
region 228: cartogram area = -183.212630, relative error = 0.004156
region 229: cartogram area = -160.957589, relative error = -0.003334
region 230: cartogram area = -201.963976, relative error = 0.002918
region 231: cartogram area = -182.736365, relative error = -0.002614
region 232: cartogram area = -154.641095, relative error = 0.002094
region 233: cartogram area = -131.876661, relative error = -0.001418
region 234: cartogram area = -70.442072, relative error = 0.001146
