Region Id,Region Data,Region Name
385,80.953125,region_372
386,29.71875,region_373
387,27.734375,region_374
388,28.609375,region_375
389,27.640625,region_376
390,23.71875,region_377
391,29.96875,region_378
392,34.609375,region_379
393,36.03125,region_38
394,35.515625,region_380
395,35.671875,region_381
396,36.046875,region_382
397,37.109375,region_383
398,40.640625,region_384
399,40.546875,region_385
400,105.125,region_386
401,137.734375,region_387
402,188.390625,region_388
403,159.015625,region_389
404,161.34375,region_39
405,134.984375,region_390
406,110.90625,region_391
407,74.921875,region_392
408,72.4375,region_393
409,59.5625,region_394
410,55.53125,region_395
411,66.59375,region_396
412,62.53125,region_397
413,111.21875,region_398
414,98.359375,region_399
415,104.5625,region_4
416,47.25,region_40
417,30.46875,region_400
418,28.5,region_401
419,29.0,region_402
420,26.640625,region_403
421,29.734375,region_404
422,36.96875,region_405
423,37.71875,region_406
424,36.78125,region_407
425,37.40625,region_408
426,35.625,region_409
427,32.71875,region_41
428,41.671875,region_410
429,43.515625,region_411
430,143.046875,region_412
431,202.515625,region_413
432,171.390625,region_414
433,175.8125,region_415
434,162.046875,region_416
435,111.859375,region_417
436,131.5625,region_418
437,91.21875,region_419
438,74.703125,region_42
439,67.953125,region_420
440,63.359375,region_421
441,61.3125,region_422
442,49.921875,region_423
443,101.71875,region_424
444,114.34375,region_425
445,105.484375,region_426
446,54.015625,region_427
447,27.578125,region_428
448,27.734375,region_429
449,28.3125,region_43
450,25.46875,region_430
451,27.953125,region_431
452,34.296875,region_432
453,31.90625,region_433
454,34.828125,region_434
455,40.296875,region_435
456,34.1875,region_436
457,31.125,region_437
458,36.0625,region_438
459,40.6875,region_439
460,142.921875,region_44
461,204.328125,region_440
462,140.6875,region_441
463,172.4375,region_442
464,193.0,region_443
465,181.859375,region_444
466,148.9375,region_445
467,90.234375,region_446
468,82.953125,region_447
469,72.21875,region_448
470,70.03125,region_449
471,57.328125,region_45
472,48.859375,region_450
473,95.1875,region_451
474,133.875,region_452
475,100.078125,region_453
476,63.796875,region_454
477,23.484375,region_455
478,29.140625,region_456
479,28.46875,region_457
480,26.171875,region_458
481,28.890625,region_459
482,36.359375,region_46
483,28.5,region_460
484,34.828125,region_461
485,36.328125,region_462
486,36.828125,region_463
487,32.890625,region_464
488,30.890625,region_465
489,40.171875,region_466
490,121.90625,region_467
491,172.78125,region_468
492,108.296875,region_469
493,148.765625,region_47
494,189.40625,region_470
495,170.375,region_471
496,119.859375,region_472
497,85.921875,region_473
498,85.921875,region_474
499,74.609375,region_475
500,70.03125,region_476
501,46.921875,region_477
502,36.953125,region_478
503,82.28125,region_479
504,144.234375,region_48
505,119.796875,region_480
506,71.015625,region_481
507,32.1875,region_482
508,26.421875,region_483
509,27.21875,region_484
510,23.96875,region_485
511,29.71875,region_486
512,30.03125,region_487
513,25.546875,region_488
514,32.453125,region_489
515,38.171875,region_49
516,37.0,region_490
517,34.171875,region_491
518,31.078125,region_492
519,36.28125,region_493
520,86.953125,region_494
521,204.5625,region_495
522,131.234375,region_496
523,158.0625,region_497
524,178.515625,region_498
525,152.296875,region_499
526,107.28125,region_5
527,91.1875,region_50
528,86.5,region_500
529,77.421875,region_501
530,52.5,region_502
531,34.734375,region_503
532,36.0625,region_504
533,81.015625,region_505
534,160.046875,region_506
535,153.96875,region_507
536,84.390625,region_508
537,44.234375,region_509
538,26.90625,region_51
539,25.078125,region_510
540,27.203125,region_511
541,29.890625,region_512
542,33.84375,region_513
543,28.9375,region_514
544,31.65625,region_515
545,39.21875,region_516
546,38.078125,region_517
547,35.875,region_518
548,34.46875,region_519
549,38.34375,region_52
550,47.71875,region_520
551,151.671875,region_521
552,128.59375,region_522
553,131.515625,region_523
554,158.96875,region_524
555,130.96875,region_525
556,111.171875,region_526
557,108.375,region_527
558,91.515625,region_528
559,79.75,region_529
560,49.0,region_53
561,33.21875,region_530
562,33.609375,region_531
563,81.21875,region_532
564,178.65625,region_533
565,157.453125,region_534
566,102.25,region_535
567,76.375,region_536
568,29.65625,region_537
569,26.5625,region_538
570,28.0,region_539
571,32.390625,region_54
572,35.28125,region_540
573,31.8125,region_541
574,31.53125,region_542
575,36.265625,region_543
576,36.28125,region_544
