Region Id,Region Data,Region Name
623,183.42,region_20_29
624,179.23,region_20_3
625,171.01,region_20_30
626,166.88,region_20_31
627,163.12,region_20_32
628,157.37,region_20_33
629,153.95,region_20_34
630,147.7,region_20_35
631,150.08,region_20_36
632,127.51,region_20_37
633,88.73,region_20_38
634,71.85,region_20_39
635,80.15,region_20_4
636,112.62,region_20_40
637,82.97,region_20_41
638,156.34,region_20_42
639,74.18,region_20_43
640,60.59,region_20_44
641,36.95,region_20_45
642,31.12,region_20_46
643,30.54,region_20_47
644,30.25,region_20_48
645,30.25,region_20_49
646,28.52,region_20_5
647,27.58,region_20_6
648,28.32,region_20_7
649,22.06,region_20_8
650,21.98,region_20_9
651,31.5,region_21_0
652,34.71,region_21_1
653,37.31,region_21_10
654,39.0,region_21_11
655,38.34,region_21_12
656,39.12,region_21_13
657,41.82,region_21_14
658,41.84,region_21_15
659,41.85,region_21_16
660,39.22,region_21_17
661,38.78,region_21_18
662,37.76,region_21_19
663,39.59,region_21_2
664,38.64,region_21_20
665,36.78,region_21_21
666,38.03,region_21_22
667,56.8,region_21_23
668,177.07,region_21_24
669,176.67,region_21_25
670,181.03,region_21_26
671,184.24,region_21_27
672,183.7,region_21_28
673,177.7,region_21_29
674,161.95,region_21_3
675,140.35,region_21_30
676,153.97,region_21_31
677,162.14,region_21_32
678,161.1,region_21_33
679,146.8,region_21_34
680,142.93,region_21_35
681,139.82,region_21_36
682,85.22,region_21_37
683,85.54,region_21_38
684,84.85,region_21_39
685,76.7,region_21_4
686,73.88,region_21_40
687,96.46,region_21_41
688,180.79,region_21_42
689,83.07,region_21_43
690,92.15,region_21_44
691,36.32,region_21_45
692,24.6,region_21_46
693,29.02,region_21_47
694,27.93,region_21_48
695,26.37,region_21_49
696,25.75,region_21_5
697,30.21,region_21_6
698,28.09,region_21_7
699,24.79,region_21_8
700,23.44,region_21_9
701,31.82,region_22_0
702,33.26,region_22_1
703,38.59,region_22_10
704,42.48,region_22_11
705,42.79,region_22_12
706,43.34,region_22_13
707,39.63,region_22_14
708,40.85,region_22_15
709,41.58,region_22_16
710,40.28,region_22_17
711,40.82,region_22_18
712,40.11,region_22_19
713,39.13,region_22_2
714,39.08,region_22_20
715,36.86,region_22_21
716,38.0,region_22_22
717,89.62,region_22_23
718,169.95,region_22_24
719,200.12,region_22_25
720,203.21,region_22_26
721,190.82,region_22_27
722,168.02,region_22_28
723,168.83,region_22_29
724,135.62,region_22_3
725,122.8,region_22_30
726,117.6,region_22_31
727,124.14,region_22_32
728,138.48,region_22_33
729,122.0,region_22_34
730,87.78,region_22_35
731,108.52,region_22_36
732,71.53,region_22_37
733,63.79,region_22_38
734,79.55,region_22_39
735,76.64,region_22_4
736,76.26,region_22_40
737,76.81,region_22_41
738,174.86,region_22_42
739,87.47,region_22_43
740,98.75,region_22_44
741,55.7,region_22_45
742,21.94,region_22_46
743,19.71,region_22_47
744,24.92,region_22_48
745,26.57,region_22_49
746,29.65,region_22_5
747,28.3,region_22_6
748,26.53,region_22_7
749,24.1,region_22_8
750,23.88,region_22_9
751,30.35,region_23_0
752,33.12,region_23_1
753,35.48,region_23_10
754,41.21,region_23_11
755,42.49,region_23_12
756,40.08,region_23_13
757,38.89,region_23_14
758,37.97,region_23_15
759,40.11,region_23_16
760,37.91,region_23_17
761,39.83,region_23_18
762,41.28,region_23_19
763,37.72,region_23_2
764,39.34,region_23_20
765,34.66,region_23_21
766,37.37,region_23_22
767,121.75,region_23_23
768,217.72,region_23_24
769,221.5,region_23_25
770,221.13,region_23_26
771,213.84,region_23_27
772,200.59,region_23_28
773,171.59,region_23_29
774,141.96,region_23_3
775,143.91,region_23_30
776,113.55,region_23_31
777,83.0,region_23_32
778,89.86,region_23_33
779,94.21,region_23_34
780,62.62,region_23_35
781,67.25,region_23_36
782,74.98,region_23_37
783,71.97,region_23_38
784,70.23,region_23_39
785,78.73,region_23_4
786,76.27,region_23_40
787,67.25,region_23_41
788,172.6,region_23_42
789,83.3,region_23_43
790,92.48,region_23_44
791,77.81,region_23_45
792,39.79,region_23_46
793,23.0,region_23_47
794,25.25,region_23_48
795,26.45,region_23_49
796,26.87,region_23_5
797,28.1,region_23_6
798,27.32,region_23_7
799,26.07,region_23_8
800,21.95,region_23_9
801,30.21,region_24_0
802,31.4,region_24_1
803,32.91,region_24_10
804,37.04,region_24_11
805,38.59,region_24_12
806,38.32,region_24_13
807,38.57,region_24_14
808,37.88,region_24_15
809,36.55,region_24_16
810,37.41,region_24_17
811,40.67,region_24_18
812,39.8,region_24_19
813,40.91,region_24_2
814,40.24,region_24_20
815,36.75,region_24_21
816,51.12,region_24_22
817,196.84,region_24_23
818,218.95,region_24_24
819,221.48,region_24_25
820,215.77,region_24_26
821,207.42,region_24_27
822,205.88,region_24_28
823,198.06,region_24_29
824,174.98,region_24_3
825,120.93,region_24_30
826,95.54,region_24_31
827,65.52,region_24_32
828,68.55,region_24_33
829,68.15,region_24_34
830,69.23,region_24_35
831,64.85,region_24_36
832,79.62,region_24_37
833,77.31,region_24_38
834,70.93,region_24_39
835,69.69,region_24_4
836,71.68,region_24_40
837,64.35,region_24_41
838,161.42,region_24_42
839,88.13,region_24_43
840,85.93,region_24_44
841,79.89,region_24_45
842,47.26,region_24_46
843,24.33,region_24_47
844,24.29,region_24_48
845,24.3,region_24_49
846,24.28,region_24_5
847,26.39,region_24_6
848,29.07,region_24_7
849,26.15,region_24_8
850,20.85,region_24_9
851,28.25,region_25_0
852,31.52,region_25_1
853,32.42,region_25_10
854,30.87,region_25_11
855,34.0,region_25_12
856,34.51,region_25_13
857,35.44,region_25_14
858,36.91,region_25_15
859,34.64,region_25_16
860,35.8,region_25_17
861,39.25,region_25_18
862,39.27,region_25_19
863,40.85,region_25_2
864,41.31,region_25_20
865,38.97,region_25_21
866,63.67,region_25_22
867,174.12,region_25_23
868,182.93,region_25_24
869,218.88,region_25_25
870,203.38,region_25_26
871,188.75,region_25_27
872,180.18,region_25_28
873,189.09,region_25_29
874,186.24,region_25_3
875,170.48,region_25_30
876,126.2,region_25_31
877,76.68,region_25_32
878,65.08,region_25_33
879,45.39,region_25_34
880,52.31,region_25_35
881,61.42,region_25_36
882,53.41,region_25_37
883,62.05,region_25_38
884,72.54,region_25_39
885,78.11,region_25_4
886,76.06,region_25_40
887,63.56,region_25_41
888,140.28,region_25_42
889,99.57,region_25_43
890,80.28,region_25_44
891,102.41,region_25_45
892,41.46,region_25_46
893,29.06,region_25_47
894,25.88,region_25_48
895,25.66,region_25_49
896,27.97,region_25_5
897,27.01,region_25_6
898,27.45,region_25_7
899,26.06,region_25_8
900,23.18,region_25_9
901,29.73,region_26_0
902,32.57,region_26_1
903,31.91,region_26_10
904,33.85,region_26_11
905,34.98,region_26_12
906,34.77,region_26_13
907,34.3,region_26_14
908,34.75,region_26_15
909,36.45,region_26_16
910,37.45,region_26_17
911,37.71,region_26_18
912,40.04,region_26_19
913,39.79,region_26_2
914,44.31,region_26_20
915,41.09,region_26_21
916,49.04,region_26_22
917,160.12,region_26_23
918,99.55,region_26_24
919,206.97,region_26_25
920,179.91,region_26_26
921,153.6,region_26_27
922,158.57,region_26_28
923,176.87,region_26_29
924,165.84,region_26_3
925,174.52,region_26_30
926,138.94,region_26_31
927,86.68,region_26_32
928,71.56,region_26_33
929,74.08,region_26_34
930,60.83,region_26_35
931,64.09,region_26_36
932,51.54,region_26_37
933,48.93,region_26_38
934,62.26,region_26_39
935,71.19,region_26_4
936,72.56,region_26_40
937,54.35,region_26_41
938,126.59,region_26_42
939,119.38,region_26_43
940,77.31,region_26_44
941,131.16,region_26_45
942,56.79,region_26_46
943,41.6,region_26_47
944,30.44,region_26_48
945,30.29,region_26_49
946,29.57,region_26_5
947,29.19,region_26_6
948,28.9,region_26_7
949,27.97,region_26_8
950,24.9,region_26_9
951,29.41,region_27_0
952,32.82,region_27_1
953,34.37,region_27_10
954,38.63,region_27_11
955,36.19,region_27_12
956,36.71,region_27_13
957,34.79,region_27_14
958,37.13,region_27_15
959,36.79,region_27_16
960,36.16,region_27_17
961,36.22,region_27_18
962,38.14,region_27_19
963,39.94,region_27_2
964,44.88,region_27_20
965,39.63,region_27_21
966,60.39,region_27_22
967,186.0,region_27_23
968,149.83,region_27_24
969,208.78,region_27_25
970,157.23,region_27_26
971,153.97,region_27_27
972,191.83,region_27_28
973,172.16,region_27_29
974,71.99,region_27_3
975,106.33,region_27_30
976,112.07,region_27_31
977,93.78,region_27_32
978,82.31,region_27_33
979,69.64,region_27_34
980,78.45,region_27_35
981,66.61,region_27_36
982,57.92,region_27_37
983,56.25,region_27_38
984,59.1,region_27_39
985,65.5,region_27_4
986,63.29,region_27_40
987,47.96,region_27_41
988,105.1,region_27_42
989,142.68,region_27_43
990,75.45,region_27_44
991,128.76,region_27_45
992,67.25,region_27_46
993,51.3,region_27_47
994,26.59,region_27_48
995,32.05,region_27_49
996,31.05,region_27_5
997,29.07,region_27_6
998,29.03,region_27_7
999,27.56,region_27_8
1000,26.85,region_27_9
1001,26.49,region_28_0
1002,32.02,region_28_1
1003,34.51,region_28_10
1004,37.95,region_28_11
1005,36.05,region_28_12
1006,36.17,region_28_13
1007,37.53,region_28_14
1008,38.6,region_28_15
1009,36.91,region_28_16
1010,31.73,region_28_17
1011,31.63,region_28_18
1012,36.28,region_28_19
1013,40.48,region_28_2
1014,44.02,region_28_20
1015,42.65,region_28_21
1016,92.29,region_28_22
1017,213.36,region_28_23
1018,206.56,region_28_24
1019,211.17,region_28_25
1020,149.17,region_28_26
1021,162.65,region_28_27
1022,195.62,region_28_28
1023,173.94,region_28_29
1024,115.72,region_28_3
1025,113.67,region_28_30
1026,140.02,region_28_31
1027,120.79,region_28_32
1028,90.86,region_28_33
1029,80.32,region_28_34
1030,70.7,region_28_35
1031,74.17,region_28_36
1032,60.86,region_28_37
1033,64.33,region_28_38
1034,61.72,region_28_39
1035,59.28,region_28_4
1036,53.4,region_28_40
1037,41.28,region_28_41
1038,89.17,region_28_42
1039,163.0,region_28_43
1040,89.89,region_28_44
1041,118.15,region_28_45
1042,82.69,region_28_46
1043,55.38,region_28_47
1044,27.74,region_28_48
1045,25.75,region_28_49
1046,28.22,region_28_5
1047,27.65,region_28_6
1048,27.41,region_28_7
1049,27.68,region_28_8
1050,25.67,region_28_9
1051,24.93,region_29_0
1052,33.58,region_29_1
1053,33.71,region_29_10
1054,33.87,region_29_11
1055,35.66,region_29_12
1056,37.76,region_29_13
1057,37.21,region_29_14
1058,40.49,region_29_15
1059,36.87,region_29_16
1060,34.36,region_29_17
1061,31.81,region_29_18
1062,34.4,region_29_19
1063,37.72,region_29_2
1064,39.83,region_29_20
1065,41.36,region_29_21
1066,99.02,region_29_22
1067,208.86,region_29_23
1068,212.95,region_29_24
1069,177.96,region_29_25
1070,138.38,region_29_26
1071,158.72,region_29_27
1072,194.54,region_29_28
1073,190.2,region_29_29
1074,179.24,region_29_3
1075,179.85,region_29_30
1076,167.59,region_29_31
1077,131.56,region_29_32
1078,87.87,region_29_33
1079,86.01,region_29_34
1080,82.03,region_29_35
1081,74.04,region_29_36
1082,70.95,region_29_37
1083,66.22,region_29_38
1084,64.64,region_29_39
1085,56.39,region_29_4
1086,56.61,region_29_40
1087,40.68,region_29_41
1088,80.12,region_29_42
1089,168.44,region_29_43
1090,112.75,region_29_44
1091,113.16,region_29_45
1092,79.35,region_29_46
1093,70.51,region_29_47
1094,32.99,region_29_48
1095,23.51,region_29_49
1096,27.16,region_29_5
1097,27.21,region_29_6
1098,27.4,region_29_7
1099,28.08,region_29_8
1100,25.36,region_29_9
1101,25.32,region_2_0
1102,33.99,region_2_1
1103,34.75,region_2_10
1104,32.3,region_2_11
1105,33.59,region_2_12
1106,35.53,region_2_13
1107,36.69,region_2_14
1108,38.87,region_2_15
1109,36.07,region_2_16
1110,33.65,region_2_17
1111,34.69,region_2_18
1112,33.92,region_2_19
1113,33.08,region_2_2
1114,41.1,region_2_20
1115,41.0,region_2_21
1116,80.53,region_2_22
1117,209.67,region_2_23
1118,203.23,region_2_24
1119,144.33,region_2_25
1120,119.64,region_2_26
1121,147.65,region_2_27
1122,193.82,region_2_28
1123,194.2,region_2_29
1124,192.3,region_2_3
1125,176.85,region_2_30
1126,149.53,region_2_31
1127,106.32,region_2_32
1128,84.1,region_2_33
1129,83.82,region_2_34
1130,83.21,region_2_35
1131,76.51,region_2_36
1132,62.62,region_2_37
1133,71.16,region_2_38
1134,67.56,region_2_39
1135,50.35,region_2_4
1136,43.57,region_2_40
1137,41.42,region_2_41
1138,67.0,region_2_42
1139,165.06,region_2_43
1140,125.78,region_2_44
1141,118.08,region_2_45
1142,75.63,region_2_46
1143,77.4,region_2_47
1144,29.24,region_2_48
1145,21.8,region_2_49
1146,28.61,region_2_5
1147,27.51,region_2_6
1148,27.26,region_2_7
1149,29.13,region_2_8
1150,24.56,region_2_9
